Year,State,BUYER_STATE,BUYER_COUNTY,Population,T_YEAR,MME
2009,Florida,FL,FRANKLIN,11515,2009,1955352.12
2009,Florida,FL,GADSDEN,46264,2009,7168381.8568125
2009,Florida,FL,GILCHRIST,16829,2009,6117871.9913625
2009,Florida,FL,GLADES,12839,2009,2627311.2
2009,Florida,FL,GULF,15933,2009,3494621.7075
2009,Florida,FL,HAMILTON,14930,2009,2305155.3525
2009,Florida,FL,HARDEE,27661,2009,7751621.3925
2009,Florida,FL,HENDRY,39010,2009,22472576.881575
2009,Florida,FL,HERNANDO,171950,2009,245050015.9472625
2009,Florida,FL,HIGHLANDS,98956,2009,33721288.500675
2009,Florida,FL,HILLSBOROUGH,1214050,2009,2124149030.8509376
2009,Florida,FL,HOLMES,20147,2009,5461291.740449999
2009,Florida,FL,INDIAN RIVER,137016,2009,79226077.11930001
2009,Florida,FL,JACKSON,50064,2009,13341586.8375
2009,Florida,FL,JEFFERSON,14704,2009,2413278.4838625
2009,Florida,FL,LAFAYETTE,8435,2009,1257662.175
2009,Florida,FL,LAKE,295511,2009,140752498.570875
2009,Florida,FL,LEE,612297,2009,439929930.9884625
2009,Florida,FL,LEON,273263,2009,55928522.419125
2009,Florida,FL,LEVY,40880,2009,33730549.8909
2009,Florida,FL,LIBERTY,8347,2009,686362.8
2009,Florida,FL,MADISON,19329,2009,3389453.2243125
2009,Florida,FL,MANATEE,320711,2009,228282899.9302125
2009,Florida,FL,MARION,330880,2009,177998098.0790625
2009,Florida,FL,MARTIN,145506,2009,121781256.5109
2009,Florida,FL,MIAMI-DADE,2463943,2009,801945146.0798625
2009,Florida,FL,MONROE,72627,2009,71369629.9695375
2009,Florida,FL,NASSAU,72671,2009,45514900.995
2009,Florida,FL,OKALOOSA,181153,2009,58085786.8360875
2009,Florida,FL,OKEECHOBEE,39899,2009,35903960.5693125
2009,Florida,FL,ORANGE,1131351,2009,688873467.0696375
2009,Florida,FL,OSCEOLA,265267,2009,225661792.62585
2009,Florida,FL,PALM BEACH,1307371,2009,1813924772.778675
2009,Florida,FL,PASCO,462607,2009,561319165.481925
2009,Florida,FL,PINELLAS,915330,2009,1035506557.2697126
2009,Florida,FL,POLK,598683,2009,198919970.26203752
2009,Florida,FL,PUTNAM,74546,2009,71246098.5103875
2009,Florida,FL,SANTA ROSA,149544,2009,67867268.881575
2009,Florida,FL,SARASOTA,377262,2009,367976232.2097
2009,Florida,FL,SEMINOLE,419788,2009,320779055.995875
2009,Florida,FL,SUMTER,90643,2009,30569094.9045375
2009,Florida,FL,SUWANNEE,41263,2009,12835535.9070375
2009,Florida,FL,TAYLOR,22482,2009,11572548.8588625
2009,Florida,FL,UNION,15340,2009,4037616.6283875
2009,Florida,FL,VOLUSIA,494688,2009,370128379.8410625
2009,Florida,FL,WAKULLA,30459,2009,8481538.98
2009,Florida,FL,WALTON,54534,2009,29237208.6374625
2009,Florida,FL,WASHINGTON,24693,2009,13060632.6949875
