,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
18083,2017,Texas,15.0,3581,Bexar County,418.8774085450991,Policy
18084,2015,Texas,15.0,32874,Bexar County,45.628764373060775,Policy
18085,2013,Texas,15.0,326843,Bexar County,4.589359417212545,Policy
18086,2011,Texas,15.0,1756153,Bexar County,0.8541397019507981,Policy
18087,2009,Texas,15.0,10315,Bexar County,145.4192922927775,Policy
18088,2005,Texas,15.0,17990,Bexar County,83.37965536409116,Policy
18089,2003,Texas,15.0,88839,Bexar County,16.88447641238645,Policy
18090,2001,Texas,15.0,248280,Bexar County,6.041565973900435,Policy
18091,1999,Texas,15.0,150211,Bexar County,9.985953092649673,Policy
18092,2020,Texas,15.0,91601,Bexar County,16.375367081145402,Policy
18093,2018,Texas,15.0,3582,Bexar County,418.76046901172526,Policy
18094,2016,Texas,15.0,32750,Bexar County,45.80152671755725,Policy
18095,2014,Texas,15.0,329140,Bexar County,4.557331226833567,Policy
18096,2012,Texas,15.0,1785704,Bexar County,0.8400048384278692,Policy
18097,2010,Texas,15.0,10497,Bexar County,142.89797084881394,Policy
18098,2006,Texas,15.0,18046,Bexar County,83.12091322176659,Policy
18099,2004,Texas,15.0,89055,Bexar County,16.84352366515075,Policy
18100,2002,Texas,15.0,255246,Bexar County,5.876683669871419,Policy
18101,2000,Texas,15.0,152415,Bexar County,9.841551028442082,Policy
18102,2020,Texas,113.0,91601,Bexar County,123.36109867796202,Policy
18103,2018,Texas,113.0,3582,Bexar County,3154.6621998883306,Policy
18104,2016,Texas,113.0,32750,Bexar County,345.0381679389313,Policy
18105,2014,Texas,113.0,329140,Bexar County,34.3318952421462,Policy
18106,2012,Texas,113.0,1785704,Bexar County,6.328036449489949,Policy
18107,2010,Texas,113.0,10497,Bexar County,1076.498047061065,Policy
18108,2006,Texas,113.0,18046,Bexar County,626.1775462706418,Policy
18109,2004,Texas,113.0,89055,Bexar County,126.88787827746899,Policy
18110,2002,Texas,113.0,255246,Bexar County,44.27101697969802,Policy
18111,2000,Texas,113.0,152415,Bexar County,74.13968441426368,Policy
18112,2020,Texas,46.0,91601,Bexar County,50.21779238217923,Policy
18113,2018,Texas,46.0,3582,Bexar County,1284.1987716359574,Policy
18114,2016,Texas,46.0,32750,Bexar County,140.45801526717557,Policy
18115,2014,Texas,46.0,329140,Bexar County,13.975815762289605,Policy
18116,2012,Texas,46.0,1785704,Bexar County,2.5760148378454657,Policy
18117,2010,Texas,46.0,10497,Bexar County,438.22044393636276,Policy
18118,2006,Texas,46.0,18046,Bexar County,254.9041338800842,Policy
18119,2004,Texas,46.0,89055,Bexar County,51.653472573128965,Policy
18120,2002,Texas,46.0,255246,Bexar County,18.021829920939016,Policy
18121,2000,Texas,46.0,152415,Bexar County,30.18075648722239,Policy
18122,2020,Texas,10.0,91601,Bexar County,10.916911387430268,Policy
18123,2018,Texas,10.0,3582,Bexar County,279.17364600781684,Policy
18124,2016,Texas,10.0,32750,Bexar County,30.53435114503817,Policy
18125,2014,Texas,10.0,329140,Bexar County,3.038220817889044,Policy
18126,2012,Texas,10.0,1785704,Bexar County,0.5600032256185795,Policy
18127,2010,Texas,10.0,10497,Bexar County,95.26531389920929,Policy
18128,2006,Texas,10.0,18046,Bexar County,55.413942147844395,Policy
18129,2004,Texas,10.0,89055,Bexar County,11.229015776767167,Policy
18130,2002,Texas,10.0,255246,Bexar County,3.917789113247612,Policy
18131,2000,Texas,10.0,152415,Bexar County,6.561034018961388,Policy
18132,2019,Texas,12.0,3509,Bexar County,341.9777714448561,Policy
18133,2017,Texas,12.0,32563,Bexar County,36.851641433528854,Policy
18134,2015,Texas,12.0,334941,Bexar County,3.582720538841169,Policy
18135,2013,Texas,12.0,1817610,Bexar County,0.6602076353013022,Policy
18136,2011,Texas,12.0,10600,Bexar County,113.20754716981132,Policy
18137,2007,Texas,12.0,18077,Bexar County,66.38269624384577,Policy
18138,2005,Texas,12.0,89239,Bexar County,13.447035488967828,Policy
18139,2003,Texas,12.0,261269,Bexar County,4.592967401413868,Policy
18140,2001,Texas,12.0,155533,Bexar County,7.7154044479306645,Policy
18141,1999,Texas,12.0,8837,Bexar County,135.79268982686432,Policy
18142,2019,Texas,89.0,3509,Bexar County,2536.335138216016,Policy
18143,2017,Texas,89.0,32563,Bexar County,273.3163406320056,Policy
18144,2015,Texas,89.0,334941,Bexar County,26.571843996405338,Policy
18145,2013,Texas,89.0,1817610,Bexar County,4.896539961817992,Policy
18146,2011,Texas,89.0,10600,Bexar County,839.6226415094338,Policy
18147,2007,Texas,89.0,18077,Bexar County,492.3383304751895,Policy
18148,2005,Texas,89.0,89239,Bexar County,99.7321798765114,Policy
18149,2003,Texas,89.0,261269,Bexar County,34.06450822715286,Policy
18150,2001,Texas,89.0,155533,Bexar County,57.22258298881909,Policy
18151,1999,Texas,89.0,8837,Bexar County,1007.1291162159104,Policy
18152,2019,Texas,50.0,3509,Bexar County,1424.9073810202337,Policy
18153,2017,Texas,50.0,32563,Bexar County,153.54850597303687,Policy
18154,2015,Texas,50.0,334941,Bexar County,14.928002245171538,Policy
18155,2013,Texas,50.0,1817610,Bexar County,2.7508651470887595,Policy
18156,2011,Texas,50.0,10600,Bexar County,471.6981132075471,Policy
18157,2007,Texas,50.0,18077,Bexar County,276.5945676826907,Policy
18158,2005,Texas,50.0,89239,Bexar County,56.02931453736595,Policy
18159,2003,Texas,50.0,261269,Bexar County,19.137364172557785,Policy
18160,2001,Texas,50.0,155533,Bexar County,32.14751853304443,Policy
18161,1999,Texas,50.0,8837,Bexar County,565.8028742786013,Policy
18162,2019,Texas,14.0,3509,Bexar County,398.97406668566543,Policy
18163,2017,Texas,14.0,32563,Bexar County,42.99358167245033,Policy
18164,2015,Texas,14.0,334941,Bexar County,4.17984062864803,Policy
18165,2013,Texas,14.0,1817610,Bexar County,0.7702422411848526,Policy
18166,2011,Texas,14.0,10600,Bexar County,132.0754716981132,Policy
18167,2007,Texas,14.0,18077,Bexar County,77.44647895115341,Policy
18168,2005,Texas,14.0,89239,Bexar County,15.688208070462466,Policy
18169,2003,Texas,14.0,261269,Bexar County,5.35846196831618,Policy
18170,2001,Texas,14.0,155533,Bexar County,9.001305189252442,Policy
18171,1999,Texas,14.0,8837,Bexar County,158.42480479800838,Policy
18172,2020,Texas,21.0,3518,Bexar County,596.9300739056282,Policy
18173,2018,Texas,21.0,32587,Bexar County,64.44287599349434,Policy
18174,2016,Texas,21.0,340411,Bexar County,6.169013339756941,Policy
18175,2014,Texas,21.0,1855866,Bexar County,1.1315472129992143,Policy
18176,2012,Texas,21.0,10655,Bexar County,197.09056780854058,Policy
18177,2008,Texas,21.0,17939,Bexar County,117.06338145939016,Policy
18178,2006,Texas,21.0,90235,Bexar County,23.2725660774644,Policy
18179,2004,Texas,21.0,268051,Bexar County,7.834330034209908,Policy
18180,2002,Texas,21.0,159297,Bexar County,13.182922465583156,Policy
18181,2000,Texas,21.0,8866,Bexar County,236.8599142792691,Policy
18182,2020,Texas,92.0,3518,Bexar County,2615.1222285389426,Policy
18183,2018,Texas,92.0,32587,Bexar County,282.3211710191181,Policy
18184,2016,Texas,92.0,340411,Bexar County,27.026153678935167,Policy
18185,2014,Texas,92.0,1855866,Bexar County,4.957254456948939,Policy
18186,2012,Texas,92.0,10655,Bexar County,863.4443923040826,Policy
18187,2008,Texas,92.0,17939,Bexar County,512.849099726852,Policy
18188,2006,Texas,92.0,90235,Bexar County,101.95600376793927,Policy
18189,2004,Texas,92.0,268051,Bexar County,34.321826816538646,Policy
18190,2002,Texas,92.0,159297,Bexar County,57.75375556350716,Policy
18191,2000,Texas,92.0,8866,Bexar County,1037.672005413941,Policy
18192,2020,Texas,47.0,3518,Bexar County,1335.986355884025,Policy
18193,2018,Texas,47.0,32587,Bexar County,144.22929389020163,Policy
18194,2016,Texas,47.0,340411,Bexar County,13.806839379456012,Policy
18195,2014,Texas,47.0,1855866,Bexar County,2.5325104290934797,Policy
18196,2012,Texas,47.0,10655,Bexar County,441.1074612857813,Policy
