,Year_y,State_y,Deaths,Population_y,County Name,Death Rate,Policy or Control
37850,2000,Iowa,5.0,11763,,42.506163393692084,Control
37851,2019,Iowa,5.0,18295,,27.329871549603716,Control
37852,2017,Iowa,5.0,149210,,3.3509818376784395,Control
37853,2015,Iowa,5.0,20466,,24.430763217042898,Control
37854,2013,Iowa,5.0,10329,,48.40739665020815,Control
37855,2011,Iowa,5.0,15396,,32.47596778383996,Control
37856,2009,Iowa,5.0,35856,,13.944667559125392,Control
37857,2007,Iowa,5.0,205840,,2.4290711232024873,Control
37858,2005,Iowa,5.0,11862,,42.15140785702242,Control
37859,2003,Iowa,5.0,9384,,53.28218243819267,Control
37860,2001,Iowa,5.0,11684,,42.79356384799726,Control
37861,1999,Iowa,5.0,13898,,35.97639948193985,Control
37862,2020,Iowa,5.0,18347,,27.252411838447703,Control
37863,2018,Iowa,5.0,151260,,3.3055665741108027,Control
37864,2016,Iowa,5.0,20439,,24.463036352072017,Control
37865,2014,Iowa,5.0,10231,,48.8710780959828,Control
37866,2012,Iowa,5.0,15346,,32.58178026847387,Control
37867,2010,Iowa,5.0,35862,,13.94233450448943,Control
37868,2008,Iowa,5.0,208558,,2.3974146280650945,Control
37869,2006,Iowa,5.0,11904,,42.00268817204301,Control
37870,2004,Iowa,5.0,9508,,52.587294909549854,Control
37871,2002,Iowa,5.0,11670,,42.84490145672665,Control
37872,2000,Iowa,5.0,14019,,35.66588201726229,Control
37873,2019,Iowa,5.0,151140,,3.3081910811168456,Control
37874,2017,Iowa,5.0,20536,,24.347487339306582,Control
37875,2015,Iowa,5.0,10163,,49.19807143559972,Control
37876,2013,Iowa,5.0,15321,,32.63494549964101,Control
37877,2011,Iowa,5.0,35621,,14.036663765756154,Control
37878,2009,Iowa,5.0,210217,,2.3784946031957452,Control
37879,2007,Iowa,5.0,11892,,42.04507231752439,Control
37880,2005,Iowa,5.0,9462,,52.842950750369894,Control
37881,2003,Iowa,5.0,11702,,42.72773884806016,Control
37882,2001,Iowa,5.0,14144,,35.35067873303167,Control
37883,1999,Iowa,5.0,22400,,22.32142857142857,Control
37884,2020,Iowa,5.0,153740,,3.252244048393391,Control
37885,2018,Iowa,5.0,20744,,24.103355187042034,Control
37886,2016,Iowa,5.0,10119,,49.41199723292816,Control
37887,2014,Iowa,5.0,15222,,32.84719484955985,Control
37888,2012,Iowa,5.0,35617,,14.038240166212764,Control
37889,2010,Iowa,5.0,211226,,2.367132834026114,Control
37890,2008,Iowa,5.0,11830,,42.265426880811496,Control
37891,2006,Iowa,5.0,9331,,53.58482477762298,Control
37892,2004,Iowa,5.0,11692,,42.76428327061238,Control
37893,2002,Iowa,5.0,14312,,34.9357182783678,Control
37894,2000,Iowa,5.0,22335,,22.386389075442132,Control
37895,2020,Iowa,5.0,20617,,24.2518310132415,Control
37896,2018,Iowa,5.0,10225,,48.89975550122249,Control
37897,2016,Iowa,5.0,15114,,33.081910811168456,Control
37898,2014,Iowa,5.0,35286,,14.169925749589073,Control
37899,2012,Iowa,5.0,215295,,2.3223948535730043,Control
37900,2010,Iowa,5.0,11387,,43.909721612364976,Control
37901,2008,Iowa,5.0,9137,,54.72255663784612,Control
37902,2006,Iowa,5.0,11604,,43.08859014133058,Control
37903,2004,Iowa,5.0,14733,,33.93741939862893,Control
37904,2002,Iowa,5.0,22394,,22.327409127444852,Control
37905,2000,Iowa,5.0,32052,,15.599650567827283,Control
37906,2019,Iowa,5.0,14813,,33.75413488152299,Control
37907,2017,Iowa,5.0,34295,,14.579384749963552,Control
37908,2015,Iowa,5.0,219916,,2.2735953727786975,Control
37909,2013,Iowa,5.0,11282,,44.31838326537848,Control
37910,2011,Iowa,5.0,8847,,56.516333220300666,Control
37911,2009,Iowa,5.0,11557,,43.26382279138185,Control
37912,2007,Iowa,5.0,15418,,32.42962770787391,Control
37913,2005,Iowa,5.0,22454,,22.267747394673556,Control
37914,2003,Iowa,5.0,32547,,15.362398992226625,Control
37915,2001,Iowa,5.0,39414,,12.6858476683412,Control
37916,1999,Iowa,5.0,14478,,34.535156789611825,Control
37917,2020,Iowa,5.0,14680,,34.05994550408719,Control
37918,2018,Iowa,5.0,34055,,14.682131845543973,Control
37919,2016,Iowa,5.0,221661,,2.2556967621728674,Control
37920,2014,Iowa,5.0,11161,,44.79885314935938,Control
37921,2012,Iowa,5.0,8760,,57.077625570776256,Control
37922,2010,Iowa,5.0,11581,,43.17416457991538,Control
37923,2008,Iowa,5.0,15517,,32.222723464587226,Control
37924,2006,Iowa,5.0,22298,,22.423535743115973,Control
37925,2004,Iowa,5.0,32618,,15.32895947023116,Control
37926,2002,Iowa,5.0,39297,,12.723617578950046,Control
37927,2000,Iowa,5.0,14547,,34.3713480442703,Control
37928,2019,Iowa,5.0,33657,,14.855750661080906,Control
37929,2017,Iowa,5.0,224115,,2.230997478972849,Control
37930,2015,Iowa,5.0,11185,,44.70272686633885,Control
37931,2013,Iowa,5.0,8746,,57.168991538989246,Control
37932,2011,Iowa,5.0,11670,,42.84490145672665,Control
37933,2009,Iowa,5.0,15510,,32.23726627981947,Control
37934,2007,Iowa,5.0,22388,,22.333392889047705,Control
37935,2005,Iowa,5.0,32774,,15.255995606273265,Control
37936,2003,Iowa,5.0,39397,,12.691321674239154,Control
37937,2001,Iowa,5.0,14497,,34.48989446092295,Control
37938,1999,Iowa,5.0,10895,,45.892611289582376,Control
37939,2020,Iowa,5.0,33480,,14.934289127837514,Control
37940,2018,Iowa,5.0,225909,,2.2132805687245747,Control
37941,2016,Iowa,5.0,11142,,44.87524681385747,Control
37942,2014,Iowa,5.0,8701,,57.46465923457074,Control
37943,2012,Iowa,5.0,11757,,42.527855745513314,Control
37944,2010,Iowa,5.0,15679,,31.88978888959755,Control
37945,2008,Iowa,5.0,22483,,22.2390250411422,Control
